State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Banks County,Georgia,Tattnall County,0,,14,19,-14,19,14,19
Georgia,Banks County,Georgia,Union County,0,,24,29,-24,29,24,29
Georgia,Banks County,Georgia,Wilkes County,0,,12,19,-12,19,12,19
Georgia,Banks County,Kentucky,Jefferson County,0,,10,14,-10,14,10,14
Georgia,Banks County,New York,Kings County,22,31,0,,22,31,22,31
Georgia,Banks County,Ohio,Adams County,0,,3,4,-3,4,3,4
Georgia,Banks County,Ohio,Richland County,0,,19,30,-19,30,19,30
Georgia,Banks County,South Carolina,Anderson County,15,25,0,,15,25,15,25
Georgia,Banks County,South Dakota,Hughes County,4,6,0,,4,6,4,6
Georgia,Banks County,Tennessee,Rhea County,51,78,0,,51,78,51,78
Georgia,Banks County,Texas,Orange County,9,18,0,,9,18,9,18
Georgia,Banks County,Virginia,Prince William County,0,,22,44,-22,44,22,44
Georgia,Banks County,Virginia,Newport News City,0,,69,89,-69,89,69,89
Georgia,Banks County,Central America,-,30,32,,,,,,
Georgia,Banks County,Europe,-,13,19,,,,,,
Georgia,Barrow County,Alabama,Lee County,42,49,7,11,35,50,49,50
Georgia,Barrow County,Alabama,Morgan County,12,19,0,,12,19,12,19
